symbol,strategy,avg_train_return_pct,avg_oos_return_pct,oos_consistency_pct,latest_params
HK.00700,HMM Regime Switch,3.288,-0.308,25.0,"{'n_states': 2, 'trend_score': 0.1}"
HK.00700,Regime Switch,3.022,0.635,50.0,"{'regime_lookback': 45, 'er_threshold': 0.5}"
HK.00005,HMM Regime Switch,0.58,0.094,25.0,"{'n_states': 2, 'trend_score': 0.06}"
HK.00005,Regime Switch,0.668,0.243,50.0,"{'regime_lookback': 30, 'er_threshold': 0.6}"
HK.09988,HMM Regime Switch,0.36,-0.213,0.0,"{'n_states': 2, 'trend_score': 0.06}"
HK.09988,Regime Switch,0.68,-0.338,0.0,"{'regime_lookback': 25, 'er_threshold': 0.55}"
HK.03690,HMM Regime Switch,-0.038,-0.098,0.0,"{'n_states': 2, 'trend_score': 0.06}"
HK.03690,Regime Switch,0.544,0.253,25.0,"{'regime_lookback': 35, 'er_threshold': 0.55}"
HK.01299,HMM Regime Switch,-0.197,0.005,25.0,"{'n_states': 2, 'trend_score': 0.02}"
HK.01299,Regime Switch,0.356,-0.181,25.0,"{'regime_lookback': 15, 'er_threshold': 0.15}"
HK.00941,HMM Regime Switch,0.097,0.0,0.0,"{'n_states': 2, 'trend_score': 0.06}"
HK.00941,Regime Switch,0.198,0.0,0.0,"{'regime_lookback': 25, 'er_threshold': 0.15}"
HK.02318,HMM Regime Switch,-0.102,-0.043,25.0,"{'n_states': 2, 'trend_score': 0.06}"
HK.02318,Regime Switch,0.172,-0.055,0.0,"{'regime_lookback': 30, 'er_threshold': 0.4}"
HK.01211,HMM Regime Switch,-0.074,-0.065,25.0,"{'n_states': 3, 'trend_score': 0.02}"
HK.01211,Regime Switch,0.061,-0.21,25.0,"{'regime_lookback': 45, 'er_threshold': 0.2}"
HK.01810,HMM Regime Switch,0.089,-0.016,0.0,"{'n_states': 3, 'trend_score': 0.02}"
HK.01810,Regime Switch,0.187,-0.027,0.0,"{'regime_lookback': 30, 'er_threshold': 0.15}"
HK.09618,HMM Regime Switch,0.474,0.114,25.0,"{'n_states': 3, 'trend_score': 0.02}"
HK.09618,Regime Switch,0.424,0.035,25.0,"{'regime_lookback': 50, 'er_threshold': 0.2}"
HK.09888,HMM Regime Switch,0.472,0.233,25.0,"{'n_states': 2, 'trend_score': 0.06}"
HK.09888,Regime Switch,1.308,0.228,50.0,"{'regime_lookback': 20, 'er_threshold': 0.55}"
