sample,code,bid,ask,half_spread_bps
1,HK.00700,441.4,441.6,2.2650056625146715
1,HK.00005,158.3,158.4,3.1575623618564665
1,HK.09988,110.3,110.4,4.53103760761253
1,HK.03690,73.4,73.45,3.4048348655088283
1,HK.01299,75.55,75.6,3.307972213033223
1,HK.00941,78.95,79.0,3.165558721114097
1,HK.02318,53.35,53.4,4.683840749414253
1,HK.01211,80.85,80.9,3.0911901081923565
1,HK.01810,26.86,26.88,3.721622627465496
1,HK.09618,105.7,105.8,4.728132387706587
1,HK.09888,89.1,89.15,2.805049088359684
1,HK.01398,7.47,7.475,3.345600535296014
1,HK.00939,9.58,9.585,2.6089225150017126
1,HK.00883,23.52,23.54,4.249893752656093
1,HK.00016,109.3,109.4,4.572473708276568
1,HK.00027,32.08,32.12,6.230529595015445
1,HK.00388,394.4,394.8,5.068423720223442
1,HK.02020,72.0,72.05,3.471017007983142
1,HK.09999,183.2,183.3,2.7285129604371825
2,HK.00700,440.4,440.6,2.2701475595918894
2,HK.00005,158.1,158.2,3.161555485298588
2,HK.09988,110.4,110.5,4.526935264825456
2,HK.03690,73.55,73.6,3.397893306149994
2,HK.01299,75.4,75.5,6.626905235254759
2,HK.00941,78.95,79.0,3.165558721114097
2,HK.02318,53.35,53.4,4.683840749414253
2,HK.01211,80.95,81.0,3.0873726458781823
2,HK.01810,26.84,26.86,3.72439478584722
2,HK.09618,105.8,106.0,9.442870632672467
2,HK.09888,89.15,89.2,2.8034763106250153
2,HK.01398,7.48,7.485,3.341129301703905
2,HK.00939,9.58,9.585,2.6089225150017126
2,HK.00883,23.52,23.54,4.249893752656093
2,HK.00016,109.1,109.2,4.580852038479548
2,HK.00027,31.92,31.94,3.1318509238959558
2,HK.00388,394.6,394.8,2.5335697998478417
2,HK.02020,72.25,72.3,3.459010722933044
2,HK.09999,183.4,183.5,2.725538293812873
3,HK.00700,441.2,441.4,2.266032177656794
3,HK.00005,158.3,158.4,3.1575623618564665
3,HK.09988,110.1,110.2,4.539264639128848
3,HK.03690,73.4,73.45,3.4048348655088283
3,HK.01299,75.5,75.55,3.310162197947511
3,HK.00941,79.0,79.05,3.163555836760339
3,HK.02318,53.45,53.5,4.675081813931478
3,HK.01211,80.7,80.75,3.0969340353048724
3,HK.01810,26.9,26.92,3.7160906726129923
3,HK.09618,105.8,105.9,4.723665564478438
