strategy,symbol,timeframe,windows,avg_train_return_pct,avg_oos_return_pct,oos_consistency_pct,generalizes
Z-Score Mean Reversion,HK.01299,5m,3,-0.061,-0.097,0.0,False
RSI,HK.01299,5m,3,0.568,0.236,66.7,True
Bollinger Bands,HK.01299,5m,3,0.459,0.106,66.7,True
SMA Crossover,HK.01299,5m,3,-0.009,-0.645,0.0,False
MACD,HK.01299,5m,3,-0.182,-0.11,33.3,False
Z-Score Mean Reversion,HK.01299,1h,4,0.418,0.04,25.0,False
RSI,HK.01299,1h,4,0.853,0.079,25.0,False
Bollinger Bands,HK.01299,1h,4,0.533,0.293,75.0,True
SMA Crossover,HK.01299,1h,4,0.734,-0.096,50.0,False
MACD,HK.01299,1h,4,0.75,-0.051,0.0,False
