strategy,symbol,timeframe,window,train_start,test_start,best_params,train_return_pct,test_return_pct,test_sharpe,test_trades,test_max_dd
Z-Score Mean Reversion,HK.01299,5m,1,2026-01-08,2026-02-19,"{'lookback': 63, 'entry_z': 1.2, 'exit_z': 0.0}",-0.332,-0.023,-0.041,18,0.631
Z-Score Mean Reversion,HK.01299,5m,2,2026-03-09,2026-04-20,"{'lookback': 99, 'entry_z': 2.4, 'exit_z': 0.0}",0.819,-0.073,-3.829,4,0.17
Z-Score Mean Reversion,HK.01299,5m,3,2026-05-08,2026-06-19,"{'lookback': 87, 'entry_z': 2.4, 'exit_z': 0.0}",-0.672,-0.196,-6.573,4,0.3
RSI,HK.01299,5m,1,2026-01-08,2026-02-19,"{'rsi_period': 39, 'oversold': 23, 'overbought': 69}",0.833,0.477,6.997,4,0.175
RSI,HK.01299,5m,2,2026-03-09,2026-04-20,"{'rsi_period': 29, 'oversold': 22, 'overbought': 72}",1.371,0.232,6.276,3,0.065
RSI,HK.01299,5m,3,2026-05-08,2026-06-19,"{'rsi_period': 43, 'oversold': 20, 'overbought': 81}",-0.502,0.0,0.0,0,0.0
Bollinger Bands,HK.01299,5m,1,2026-01-08,2026-02-19,"{'bb_period': 19, 'num_std': 2.0}",0.278,-0.314,-2.839,20,0.672
Bollinger Bands,HK.01299,5m,2,2026-03-09,2026-04-20,"{'bb_period': 8, 'num_std': 2.5}",0.893,0.402,5.532,5,0.17
Bollinger Bands,HK.01299,5m,3,2026-05-08,2026-06-19,"{'bb_period': 5, 'num_std': 2.0}",0.206,0.23,4.787,1,0.274
SMA Crossover,HK.01299,5m,1,2026-01-08,2026-02-19,"{'fast_period': 21, 'slow_period': 121}",-0.028,-1.382,-10.22,11,1.452
SMA Crossover,HK.01299,5m,2,2026-03-09,2026-04-20,"{'fast_period': 16, 'slow_period': 45}",0.081,-0.172,-1.565,23,0.392
SMA Crossover,HK.01299,5m,3,2026-05-08,2026-06-19,"{'fast_period': 46, 'slow_period': 165}",-0.081,-0.381,-6.333,6,0.381
MACD,HK.01299,5m,1,2026-01-08,2026-02-19,"{'fast_ema': 41, 'slow_ema': 91, 'signal_period': 30}",-0.451,-0.427,-2.545,9,0.817
MACD,HK.01299,5m,2,2026-03-09,2026-04-20,"{'fast_ema': 48, 'slow_ema': 11, 'signal_period': 27}",0.538,0.239,3.557,23,0.261
MACD,HK.01299,5m,3,2026-05-08,2026-06-19,"{'fast_ema': 41, 'slow_ema': 69, 'signal_period': 22}",-0.634,-0.143,-2.031,13,0.405
Z-Score Mean Reversion,HK.01299,1h,1,2025-07-09,2025-09-10,"{'lookback': 80, 'entry_z': 1.9, 'exit_z': 0.0}",0.626,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.01299,1h,2,2025-10-08,2025-12-10,"{'lookback': 83, 'entry_z': 1.6, 'exit_z': 0.0}",0.427,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.01299,1h,3,2026-01-07,2026-03-11,"{'lookback': 66, 'entry_z': 2.1, 'exit_z': 0.0}",1.152,0.0,0.0,0,0.0
Z-Score Mean Reversion,HK.01299,1h,4,2026-04-08,2026-06-10,"{'lookback': 40, 'entry_z': 2.3, 'exit_z': 0.0}",-0.531,0.16,3.301,2,0.135
RSI,HK.01299,1h,1,2025-07-09,2025-09-10,"{'rsi_period': 17, 'oversold': 22, 'overbought': 87}",0.949,-0.0,0.004,1,0.46
RSI,HK.01299,1h,2,2025-10-08,2025-12-10,"{'rsi_period': 45, 'oversold': 34, 'overbought': 75}",1.073,0.0,0.0,0,0.0
RSI,HK.01299,1h,3,2026-01-07,2026-03-11,"{'rsi_period': 12, 'oversold': 18, 'overbought': 78}",1.16,0.315,1.158,2,0.698
RSI,HK.01299,1h,4,2026-04-08,2026-06-10,"{'rsi_period': 40, 'oversold': 15, 'overbought': 60}",0.23,0.0,0.0,0,0.0
Bollinger Bands,HK.01299,1h,1,2025-07-09,2025-09-10,"{'bb_period': 30, 'num_std': 2.5}",0.759,-0.045,-0.502,2,0.46
Bollinger Bands,HK.01299,1h,2,2025-10-08,2025-12-10,"{'bb_period': 9, 'num_std': 2.0}",1.022,0.358,3.287,3,0.21
Bollinger Bands,HK.01299,1h,3,2026-01-07,2026-03-11,"{'bb_period': 44, 'num_std': 1.0}",1.05,0.56,3.404,2,0.187
Bollinger Bands,HK.01299,1h,4,2026-04-08,2026-06-10,"{'bb_period': 30, 'num_std': 2.5}",-0.699,0.3,3.917,1,0.244
SMA Crossover,HK.01299,1h,1,2025-07-09,2025-09-10,"{'fast_period': 22, 'slow_period': 21}",0.785,-0.095,-0.848,1,0.5
SMA Crossover,HK.01299,1h,2,2025-10-08,2025-12-10,"{'fast_period': 9, 'slow_period': 25}",0.906,0.023,0.283,1,0.214
SMA Crossover,HK.01299,1h,3,2026-01-07,2026-03-11,"{'fast_period': 18, 'slow_period': 37}",0.787,-0.456,-1.995,5,1.036
SMA Crossover,HK.01299,1h,4,2026-04-08,2026-06-10,"{'fast_period': 39, 'slow_period': 49}",0.46,0.145,4.779,1,0.02
MACD,HK.01299,1h,1,2025-07-09,2025-09-10,"{'fast_ema': 10, 'slow_ema': 17, 'signal_period': 5}",0.727,-0.03,-0.301,8,0.284
MACD,HK.01299,1h,2,2025-10-08,2025-12-10,"{'fast_ema': 13, 'slow_ema': 33, 'signal_period': 22}",1.05,-0.037,-0.449,1,0.215
MACD,HK.01299,1h,3,2026-01-07,2026-03-11,"{'fast_ema': 36, 'slow_ema': 12, 'signal_period': 12}",0.907,-0.136,-1.289,4,0.34
MACD,HK.01299,1h,4,2026-04-08,2026-06-10,"{'fast_ema': 43, 'slow_ema': 21, 'signal_period': 12}",0.316,0.0,0.0,0,0.0
